,value
0,"Ladies and gentlemen, in line with our stated intention, the Vice-President and I are here today to report on the outcome of todays meeting of the Governing Council of the European Central Bank."
1,"Ladies and gentlemen, as in previous months, the Vice-President and I are here today to report on the outcome of today's meeting of the Governing Council of the European Central Bank."
2,"Ladies and gentlemen, the Vice-President and I are here today to report on the outcome of today's meetings of the Governing Council and the General Council of the European Central Bank."
3,"Ladies and gentlemen, the Vice-President and I are here today to report on the outcome of today's meeting of the Governing Council of the European Central Bank at which we took the opportunity to finalise a number of issues of a rather technical or legal nature ahead of the forthcoming Changeover Weekend."
4,"Ladies and gentlemen, the Vice-President and I are here today to report on the outcome of the first meeting of the Governing Council of the European Central Bank in Stage Three of Economic and Monetary Union."
5,"Ladies and gentlemen, the Vice-President and I are here today to report on the outcome of today's meeting of the Governing Council of the European Central Bank. 
"
6,"Ladies and gentlemen, the Vice-President and I are here today to report on the outcome of today's meetings of the Governing Council and of the General Council of the European Central Bank. 
"
7,"Ladies and gentlemen, the Vice-President and I are here today to report on the outcome of today's meeting of the Governing Council. 
"
8,"Ladies and gentlemen, the Vice-President and I are here today to report on the outcome of today's meeting of the Governing Council of the ECB. 
"
9,"Ladies and gentlemen, the Vice-President and I are here today to report on the outcome of today's meetings of the General and Governing Councils of the ECB. 
"
10,"Ladies and gentlemen, the Vice-President and I are here today to report on the outcome of today's meeting of the Governing Council of the ECB, which was attended by the EU Council President, Mr. Niinistö, and by Mr. de Silguy, European Commissioner. 
"
11,"Ladies and gentlemen, the Vice-President and I are here today to report on the outcome of today's meetings of the General Council and the Governing Council of the ECB, which were attended by Mr. de Silguy, European Commissioner. 
"
12,"Ladies and gentlemen, 
the Vice-President and I are here today to report on the outcome of today's meetings of the Governing Council of the ECB, which was attended by the European Commissioner, Mr. Solbes Mira. 
"
13,"Ladies and gentlemen, 
the Vice-President and I are here to report on today's meeting of the Governing Council of the ECB. 
"
14,"Ladies and gentlemen, the Vice-President and I are here today to report on the outcome of today's meetings of the General Council and the Governing Council of the ECB, the latter of which was attended by Mr. Niinistö, President of the EU Council. 
Let me first report that the Governing Council decided to confirm the reference value for monetary growth, namely an annual growth rate of 4½% for the broad aggregate M3."
15,"Ladies and gentlemen, the Vice-President and I are here today to report on the outcome of today's meeting of the Governing Council of the ECB. 
"
16,"Ladies and gentlemen, 
the Vice-President and I are here today to report on the outcome of today's meeting of the Governing Council of the ECB. 
"
17,"Ladies and gentlemen, the Vice-President and I are here today to report on the outcome of today's meetings of the General Council and the Governing Council of the ECB. 
"
18,"Ladies and gentlemen, today, the Governing Council of the ECB met for the first time outside Frankfurt."
19," Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meeting of the Governing Council of the ECB. 
"
20," Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meeting of the Governing Council of the ECB. 
"
21," Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meetings of the General Council and the Governing Council of the ECB. 
"
22,"Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meeting of the Governing Council of the ECB, which was also attended by Mr. Papademos, Governor of the Bank of Greece, to whom the Governing Council has extended a standing invitation following the EU Council's decision on Greece's adoption of the euro on 1 January 2001. 
"
23,"Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meetings of the General Council and the Governing Council of the ECB. 
"
24,"Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meeting of the Governing Council of the ECB."
25,"Welcome address by Jean-Claude Trichet, Governor of the Banque de France 
Ladies and gentlemen, 
Today, the Governing Council met for the second time outside Frankfurt."
