na_item,s_adj,unit,geo\time	2019Q3 	2019Q4 	2020Q1 	2020Q2 	2020Q3 	2020Q4 	2021Q1 	2021Q2 	2021Q3 	2021Q4 	2022Q1 	2022Q2 
B1GQ,SCA,MIO_EUR_SCA,AT	99943.7 	99878.0 	97837.8 	88135.4 	97968.3 	96464.3 	96091.2 	100434.8 	105396.2 	104202.0 	107623.3 	111173.3 
B1GQ,SCA,MIO_EUR_SCA,BE	120297.0 	121599.0 	118139.0 p	103279.0 p	117208.0 p	118105.0 p	121069.0 p	124071.0 p	128912.0 p	132153.0 p	136672.0 p	138402.0 p
B1GQ,SCA,MIO_EUR_SCA,BG	15135.5 	15659.3 	15535.4 	14446.9 	15449.7 	15877.9 	16176.1 p	16300.6 p	17144.6 p	18088.1 p	19577.8 p	20351.2 p
B1GQ,SCA,MIO_EUR_SCA,CH	163716.7 	164537.3 	165879.4 	154698.3 	163683.9 	163936.4 	161849.8 	165393.2 	171490.7 	177433.7 	183317.7 	187100.7 
B1GQ,SCA,MIO_EUR_SCA,CY	5826.0 	5897.8 	5844.8 	5024.8 	5390.5 	5635.1 	5794.9 	5866.8 	6076.9 	6280.2 	6432.5 	6654.2 
B1GQ,SCA,MIO_EUR_SCA,CZ	56738.1 	57561.4 	56804.6 	49470.7 	54558.3 	55182.5 	56614.3 	59198.1 	61211.1 	61171.5 	66426.8 	68085.3 
B1GQ,SCA,MIO_EUR_SCA,DE	872136.0 p	879176.0 p	874257.0 p	800058.0 p	855201.0 p	868741.0 p	870722.0 p	889123.0 p	909431.0 p	923239.0 p	942756.0 p	957666.0 p
B1GQ,SCA,MIO_EUR_SCA,DK	77871.5 	78097.2 	78930.4 	74368.7 	78956.6 	79501.8 	80130.1 	82871.5 	85019.8 	88695.9 	89855.2 	94017.1 
B1GQ,SCA,MIO_EUR_SCA,EA	3008341.9 	3024703.6 	2936536.7 	2632441.2 	2926817.4 	2939453.8 	2957984.0 	3030663.1 	3124605.3 	3170926.8 	3231183.4 	3292094.0 
B1GQ,SCA,MIO_EUR_SCA,EA19	3008341.9 	3024703.6 	2936536.7 	2632441.2 	2926817.4 	2939453.8 	2957984.0 	3030663.1 	3124605.3 	3170926.8 	3231183.4 	3292094.0 
B1GQ,SCA,MIO_EUR_SCA,EE	6923.2 	6990.8 	6941.2 	6460.4 	6921.6 	7107.3 	7282.6 	7644.7 	8013.0 	8415.9 	8734.7 	9007.9 
B1GQ,SCA,MIO_EUR_SCA,EL	45579.0 p	45382.3 p	44783.9 p	38430.1 p	40837.9 p	41814.6 p	43203.9 p	45023.8 p	46290.2 p	48021.6 p	50579.3 p	52522.1 p
B1GQ,SCA,MIO_EUR_SCA,ES	311392.0 	314919.0 	297310.0 p	245083.0 p	286945.0 p	288651.0 p	289172.0 p	292797.0 p	305527.0 p	319346.0 p	318659.0 p	323810.0 p
B1GQ,SCA,MIO_EUR_SCA,EU27_2020	3516357.1 	3541509.3 	3454631.5 	3096922.6 	3430329.8 	3455622.8 	3487913.6 	3574247.6 	3678861.1 	3747759.0 	3828337.8 	3906486.7 
B1GQ,SCA,MIO_EUR_SCA,EU28	4134681.8 	4191197.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
B1GQ,SCA,MIO_EUR_SCA,FI	60196.0 	60446.0 	60827.0 	57254.0 	59763.0 	60199.0 	60695.0 	62247.0 	63508.0 	64913.0 	66196.0 	68268.0 
B1GQ,SCA,MIO_EUR_SCA,FR	612233.1 	612218.7 	584972.4 	525686.2 	598831.2 	600227.8 	606231.1 	615740.2 	635833.9 	641042.0 	645483.0 	652265.4 
B1GQ,SCA,MIO_EUR_SCA,HR	13923.0 	14113.4 	13914.1 p	11565.5 p	11953.5 p	13017.8 p	13753.1 p	13942.2 p	14538.9 p	14935.6 p	15678.4 p	16471.4 p
B1GQ,SCA,MIO_EUR_SCA,HU	36613.1 	36844.7 	36867.0 	31142.1 	34436.8 	35461.2 	35864.4 	38557.2 	39174.9 	40171.5 	42671.5 	42106.1 
B1GQ,SCA,MIO_EUR_SCA,IE	90074.5 	91790.7 	93350.0 	87460.6 	98100.8 	94898.5 	100145.0 	104939.0 	111036.4 	109743.8 	116899.8 	123670.4 
B1GQ,SCA,MIO_EUR_SCA,IT	450624.6 	450320.5 	423378.4 	377879.2 	429680.7 	428448.8 	429556.3 	441025.7 	453727.2 	456126.9 	462076.0 	472024.0 
B1GQ,SCA,MIO_EUR_SCA,LT	12219.7 	12544.9 	12573.1 	11897.7 	12529.1 	12743.7 	13183.7 	13784.2 	14241.4 	14953.1 	15672.0 	16318.6 
B1GQ,SCA,MIO_EUR_SCA,LU	15742.6 	15812.4 	16037.0 	15581.6 	16406.4 	16698.5 	17249.3 	17810.2 	18197.1 	18928.8 	19210.4 p	19627.8 p
B1GQ,SCA,MIO_EUR_SCA,LV	7669.9 	7744.3 	7848.7 	7135.1 	7516.4 	7775.0 	7976.9 	8226.3 	8491.0 	8810.6 	9458.1 	9651.4 
B1GQ,SCA,MIO_EUR_SCA,ME	1271.5 	1245.6 	1226.2 	945.3 	938.7 	1144.6 	1178.8 	1192.6 	1244.7 	1317.6 	1382.6 p	1463.4 p
B1GQ,SCA,MIO_EUR_SCA,MK	2855.2 	2792.1 	2783.8 p	2330.1 p	2730.7 p	2777.9 p	2804.8 e	2858.8 e	2958.7 e	3081.1 e	: 	: 
B1GQ,SCA,MIO_EUR_SCA,MT	3592.4 	3617.8 	3458.1 	3009.9 	3225.4 	3380.5 	3500.1 	3552.7 	3765.6 	3862.9 	3903.2 	4079.2 
B1GQ,SCA,MIO_EUR_SCA,NL	203957.4 	206185.1 	203750.9 p	187857.6 p	201325.0 p	203466.1 p	204019.8 p	212405.9 p	218472.1 p	221241.2 p	226972.8 p	232236.7 p
B1GQ,SCA,MIO_EUR_SCA,NO	89927.4 	89683.4 	83851.6 	72095.0 	79926.0 	81258.3 	89571.1 	95221.5 	104272.2 	117480.3 	125478.4 	126563.7 
B1GQ,SCA,MIO_EUR_SCA,PL	132829.0 	137185.9 	138042.7 	121999.2 	132008.5 	134101.7 	138083.3 	142215.5 	142354.0 	150810.0 	157727.0 	160643.8 
